,Date,MM_conf,LA_conf,NL_conf,PH_conf,RU_conf,KR,TW_conf,US_conf,AE_conf,GB_conf,VN_conf,AU_conf,AT_conf,KH_conf,CA_conf,CN_conf,HR_conf,CZ_conf,EG_conf,FI_conf,FR_conf,DE_conf,HU_conf,IN_conf,ID_conf,IL_conf,IT_conf,JP_conf,MY_conf,MX_conf,MN_conf,NZ_conf,PL_conf,PT_conf,QA_conf,SG_conf,ES_conf,CH_conf,TH_conf,TR_conf,HR_roam,MN_roam,PL_roam,MM_roam,QA_roam,EG_roam,MX_roam,LA_roam,FI_roam,HU_roam,KH_roam,IL_roam,CH_roam,PT_roam,NL_roam,TW_roam,IN_roam,NZ_roam,CZ_roam,CA_roam,AT_roam,RU_roam,SG_roam,AU_roam,AE_roam,ID_roam,TR_roam,GB_roam,PH_roam,MY_roam,IT_roam,ES_roam,FR_roam,DE_roam,JP_roam,TH_roam,VN_roam,US_roam,CN_roam,news,covid_tr,coro_tr,target
28,2020-02-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,54,86,34,53,65,15,51,104,76,118,87,293,159,121,133,283,36,132,171,156,222,222,180,175,231,194,225,264,689,342,313,274,349,298,1707,414,956,719,557,78.0,11.0,31.0,0.0
29,2020-02-20,0,0,0,0,0,73,1,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,49,59,78,73,78,24,39,89,72,93,120,158,165,141,133,257,145,89,148,179,176,236,181,161,245,226,174,222,669,359,306,286,334,400,1709,349,964,745,667,68.0,25.0,50.0,0.0
30,2020-02-21,0,0,0,0,0,100,2,2,0,0,0,0,0,0,1,473,0,0,0,0,0,0,0,0,0,1,17,11,0,0,0,0,0,0,0,1,0,0,0,0,36,112,81,40,91,24,59,75,113,101,122,666,189,178,135,223,67,86,132,160,155,263,151,214,265,289,294,259,639,358,379,355,458,416,1610,467,1022,766,577,60.0,19.0,63.0,0.0
31,2020-02-22,0,0,0,0,0,229,0,0,4,0,0,0,0,0,0,1451,0,0,0,0,0,0,0,0,0,0,42,17,0,0,0,0,0,0,0,0,0,0,0,0,85,89,56,54,95,97,67,125,92,98,106,186,154,59,111,247,121,159,117,153,159,268,219,223,247,318,264,249,579,387,257,195,352,450,1439,491,981,936,623,82.0,33.0,73.0,0.0
32,2020-02-23,0,0,0,0,0,169,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,93,25,0,0,0,0,0,0,0,4,0,0,0,0,44,116,74,60,92,55,35,85,84,76,112,80,142,123,129,237,75,113,154,198,124,362,203,225,212,238,252,248,818,307,266,356,389,442,1987,417,943,904,697,86.0,40.0,73.0,17.0
33,2020-02-24,0,0,0,0,0,231,2,36,0,4,0,0,0,0,1,219,0,0,0,0,0,0,0,0,0,0,74,12,0,0,0,0,0,0,0,0,0,0,0,0,107,57,40,52,49,26,38,82,61,112,144,401,150,82,89,256,77,140,154,127,161,213,191,164,232,294,206,274,766,376,387,278,391,284,1681,391,936,708,548,547.0,58.0,75.0,0.0
34,2020-02-25,0,0,0,0,0,144,1,0,0,0,0,0,2,0,1,513,1,0,0,0,2,1,0,0,0,0,93,11,0,0,0,0,0,0,0,2,4,1,2,0,12,59,76,55,84,26,46,56,56,50,66,594,124,108,132,156,79,101,98,148,106,254,160,173,237,214,270,198,632,329,231,236,351,365,1282,366,779,745,567,495.0,51.0,63.0,0.0
35,2020-02-26,0,0,0,0,0,284,1,6,0,0,0,0,0,0,0,412,2,0,0,1,4,10,0,0,0,1,131,19,0,0,0,0,0,0,0,2,7,0,3,0,73,43,41,39,64,22,56,39,88,153,69,76,153,85,104,123,44,131,151,96,245,201,155,174,255,226,182,229,561,210,279,252,349,343,1308,331,702,679,469,613.0,44.0,57.0,0.0
36,2020-02-27,0,0,1,0,0,505,0,1,0,2,0,0,1,0,2,434,0,0,0,0,20,19,0,0,0,1,202,25,1,0,0,0,0,0,0,0,2,7,0,0,50,41,45,39,95,18,33,69,92,103,77,134,123,96,83,103,99,98,150,162,157,229,119,160,191,209,103,231,602,243,306,185,294,401,1204,311,718,695,455,355.0,41.0,53.0,0.0
37,2020-02-28,0,0,0,0,0,571,2,2,6,5,0,0,0,0,1,328,2,0,0,0,19,2,0,0,0,1,233,14,0,1,0,1,0,0,0,0,17,0,1,0,35,39,43,49,48,21,79,58,60,70,116,64,108,61,131,105,57,78,139,124,198,196,118,170,160,304,184,243,468,245,254,213,289,425,1248,316,728,772,411,629.0,50.0,52.0,0.0
38,2020-02-29,0,0,5,0,0,813,5,8,2,3,0,10,6,0,6,428,1,0,0,1,43,31,0,0,0,3,240,13,2,3,0,0,0,0,1,9,13,10,1,0,80,37,42,48,52,100,52,62,66,98,76,42,145,45,105,122,138,153,114,175,182,188,201,165,193,256,241,221,578,289,262,116,334,405,1190,316,543,896,565,568.0,27.0,47.0,0.0
39,2020-03-01,0,0,4,0,0,586,1,6,0,13,0,2,5,0,4,576,1,3,1,3,30,51,0,0,0,3,566,15,4,1,0,0,0,0,2,4,39,9,0,0,56,45,53,48,41,74,64,72,59,109,51,50,94,82,104,97,43,101,148,190,142,218,116,205,157,224,124,205,576,256,215,202,259,329,1255,351,507,849,419,354.0,32.0,42.0,0.0
40,2020-03-02,0,0,8,0,1,599,1,24,0,4,0,3,4,0,3,204,0,0,0,0,61,29,0,2,2,0,342,18,0,0,0,0,0,2,0,2,36,15,1,0,50,36,16,34,33,20,58,12,55,137,93,0,73,39,57,55,52,100,72,107,106,112,107,150,96,194,101,144,443,161,254,122,283,210,880,244,286,620,368,605.0,35.0,39.0,0.0
41,2020-03-03,0,0,6,0,0,851,1,20,6,11,0,9,3,0,3,125,2,2,0,0,13,37,0,0,0,2,466,19,7,0,0,0,0,0,4,2,45,14,0,0,42,22,36,9,17,13,41,3,44,40,34,9,76,93,52,35,80,63,71,91,57,113,84,111,89,132,66,117,339,103,116,173,227,209,754,158,149,474,258,626.0,32.0,38.0,0.0
42,2020-03-04,0,0,14,0,0,435,0,31,0,35,0,13,8,0,3,125,1,3,0,0,84,66,2,23,0,3,587,38,14,0,0,2,1,3,1,0,57,34,0,0,6,19,9,18,9,11,24,9,27,25,43,36,60,28,73,41,24,96,18,70,50,94,98,138,68,139,63,79,283,156,112,101,125,164,718,201,238,399,238,695.0,38.0,34.0,1.0
43,2020-03-05,0,0,44,0,1,467,2,68,2,30,0,3,12,0,4,151,0,4,1,6,92,220,0,2,0,5,769,29,0,0,0,0,0,3,0,7,37,24,4,0,29,41,22,15,3,0,37,12,18,29,36,6,24,51,63,46,38,54,74,81,70,94,94,89,75,121,59,73,283,66,76,105,124,205,719,162,127,390,286,647.0,40.0,33.0,0.0
44,2020-03-06,0,0,46,2,9,505,1,45,0,48,0,5,14,0,12,153,1,6,12,3,276,188,0,1,2,17,778,60,33,1,0,1,4,5,0,13,141,100,1,0,9,19,18,30,19,9,30,0,33,21,43,0,21,31,60,8,9,9,33,64,45,81,72,64,49,90,36,89,277,119,43,77,113,132,678,184,176,389,270,636.0,37.0,30.0,0.0
45,2020-03-07,0,0,60,1,0,448,0,140,16,43,2,3,24,0,5,80,1,1,0,0,303,129,2,3,0,6,1247,41,10,0,0,1,0,7,0,8,100,54,2,0,34,24,21,27,18,6,24,9,23,49,60,0,39,20,29,31,60,67,46,64,70,69,33,141,70,107,24,79,286,67,41,37,141,165,687,214,52,433,270,502.0,25.0,29.0,1.0
46,2020-03-08,0,0,77,4,4,273,0,116,0,67,12,13,25,1,10,53,0,12,34,8,177,241,3,5,2,18,1492,41,6,1,0,0,6,10,7,12,173,69,0,0,21,16,9,21,6,0,24,12,53,25,38,9,33,29,73,26,30,33,35,64,62,68,24,63,66,74,23,105,298,66,54,89,142,163,1166,183,51,416,246,447.0,48.0,28.0,1.0
47,2020-03-09,0,0,56,10,0,164,0,65,0,48,0,15,27,0,13,37,0,0,6,7,83,136,2,4,13,0,1797,9,18,0,0,0,5,0,3,0,400,37,0,0,19,17,33,46,3,0,9,12,34,9,60,0,33,25,41,30,15,0,24,68,36,53,30,6,59,84,30,77,383,59,60,82,110,96,334,215,39,327,268,517.0,35.0,30.0,1.0
48,2020-03-10,0,0,61,13,3,35,2,376,29,62,1,16,51,0,2,27,2,10,4,10,575,281,0,13,8,14,977,70,12,0,1,0,6,11,6,10,622,117,3,0,0,7,11,6,9,9,9,6,12,57,51,0,12,27,25,46,36,3,3,33,9,56,12,45,48,60,3,52,251,39,9,36,77,95,213,129,35,251,168,627.0,39.0,32.0,2.0
49,2020-03-11,0,0,121,16,0,242,1,322,0,75,7,21,64,1,29,34,5,50,1,19,499,451,4,6,7,4,2313,58,20,1,0,0,9,18,238,18,582,161,6,1,0,6,3,24,9,0,19,0,3,0,30,0,15,14,31,33,6,6,0,39,15,26,6,9,12,45,3,46,270,68,36,49,55,47,211,120,34,268,192,612.0,40.0,31.0,2.0
50,2020-03-12,0,0,0,3,8,114,1,382,11,0,1,0,56,0,9,11,0,3,7,0,0,170,0,11,0,21,0,0,0,4,0,0,18,0,0,0,0,0,11,0,19,12,3,6,9,6,24,12,3,84,83,0,15,15,46,39,0,3,32,67,43,43,22,9,39,94,3,60,214,24,6,36,46,112,234,136,50,288,176,667.0,52.0,32.0,4.0
51,2020-03-13,0,0,303,12,17,110,1,516,0,343,8,72,202,2,76,13,13,47,13,96,1388,1597,6,9,35,26,5198,62,48,14,0,0,19,53,58,22,2955,487,5,4,3,0,12,18,11,0,9,15,7,27,9,0,6,19,25,27,6,3,12,45,24,40,21,18,66,52,6,36,210,81,9,50,53,96,230,122,69,268,222,560.0,63.0,31.0,3.0
52,2020-03-14,0,0,156,47,14,107,3,548,0,342,6,50,151,2,5,32,6,48,29,70,815,910,11,20,27,29,3497,72,41,15,0,1,35,57,17,12,1159,220,7,0,6,6,9,0,20,6,49,21,3,12,42,3,39,9,24,23,12,6,24,53,21,31,22,15,58,79,3,71,198,18,12,39,123,101,234,171,56,314,249,287.0,46.0,28.0,2.0
53,2020-03-15,0,0,176,29,4,76,6,772,13,1,3,47,205,0,54,26,11,64,1,19,36,1210,2,11,21,58,3590,66,190,12,0,2,16,76,64,14,1407,841,32,1,0,39,6,0,14,3,3,9,18,24,50,0,54,11,71,30,15,12,12,55,35,71,20,24,52,93,6,81,253,45,21,51,100,100,231,81,31,295,296,133.0,51.0,27.0,0.0
54,2020-03-16,0,0,278,2,27,74,8,1133,0,406,5,80,158,0,163,30,8,45,40,33,2151,1477,7,6,17,5,3233,0,138,29,0,0,58,86,38,17,2144,0,33,12,0,3,6,12,16,6,36,3,6,0,52,0,21,9,18,26,21,0,6,48,15,23,29,18,21,97,3,30,269,63,15,45,45,81,190,90,29,251,295,163.0,60.0,27.0,1.0
55,2020-03-17,0,0,295,45,24,84,10,1789,0,409,5,75,314,26,63,25,8,98,46,44,1032,1985,11,23,38,32,3526,39,107,11,4,4,61,117,0,23,1806,500,30,29,0,12,6,9,11,12,9,15,18,9,39,0,12,18,41,27,3,6,12,37,12,53,6,30,31,39,6,95,220,15,12,36,50,94,151,87,30,247,174,69.0,67.0,26.0,4.0
56,2020-03-18,0,0,347,15,33,93,23,1362,15,682,9,116,314,2,179,44,16,68,0,15,1409,3070,8,14,55,54,4207,11,117,25,1,8,13,0,13,47,2162,328,35,51,0,3,3,0,16,6,9,6,6,6,9,0,6,0,18,44,6,3,6,56,9,55,24,18,52,45,3,15,255,74,0,18,51,39,170,89,18,233,176,30.0,58.0,28.0,10.0
57,2020-03-19,0,0,409,15,52,152,8,5964,27,74,10,113,367,2,143,54,24,230,60,64,1846,2993,15,38,84,123,5322,35,110,46,0,8,104,337,8,32,4053,1047,60,94,0,3,3,18,22,0,12,9,9,0,59,0,21,18,37,37,3,3,9,43,15,35,18,22,69,99,3,84,269,18,3,39,36,87,214,71,73,222,204,30.0,75.0,25.0,14.0
58,2020-03-20,0,0,536,13,54,87,27,5526,0,1298,6,110,375,14,143,94,23,139,29,50,1788,4528,12,50,58,102,5986,39,130,39,0,11,70,235,10,40,2447,1219,50,167,0,3,3,3,34,9,3,9,3,3,3,0,6,3,21,34,3,0,0,73,9,22,39,15,21,84,21,18,208,125,9,15,59,42,177,92,68,224,219,21.0,67.0,24.0,7.0
59,2020-03-21,0,0,637,77,53,147,18,6327,13,1053,3,280,426,2,334,55,78,162,9,73,1705,2365,18,86,81,183,6557,44,153,48,4,13,111,260,11,47,4964,1281,89,311,0,6,3,0,27,3,12,3,9,3,51,54,0,0,18,38,18,0,3,49,13,52,30,9,41,76,12,39,174,13,6,12,39,67,171,72,68,264,222,30.0,66.0,26.0,22.0
60,2020-03-22,0,0,577,73,61,162,16,7676,0,678,19,478,768,31,192,130,48,125,33,103,1780,2660,28,66,64,171,5560,94,123,65,0,50,98,320,13,23,3394,899,188,566,0,3,6,12,17,0,24,6,6,9,39,0,6,0,27,31,15,3,0,66,16,37,6,9,37,54,3,69,175,12,9,9,36,78,156,89,55,229,225,14.0,63.0,28.0,15.0
61,2020-03-23,0,0,547,82,71,0,26,10567,45,981,10,133,892,3,619,63,61,116,39,74,3880,4183,36,103,65,188,4789,27,212,51,0,0,115,460,7,54,6368,1321,122,293,0,3,0,0,8,0,12,0,12,0,36,0,0,0,12,20,6,0,3,63,9,25,24,18,6,131,3,61,144,45,3,9,28,64,165,75,15,242,227,57.0,84.0,26.0,21.0
62,2020-03-24,0,2,816,90,57,76,20,9893,50,1438,11,362,809,4,702,93,67,158,36,92,2499,3930,20,37,107,167,5249,65,106,38,0,53,152,302,25,49,4749,1082,106,343,3,9,0,9,12,0,3,24,0,0,44,9,3,3,22,26,0,0,3,43,3,17,27,9,40,33,6,55,47,9,6,6,43,66,120,72,68,217,106,392.0,95.0,24.0,27.0
63,2020-03-25,0,1,858,84,163,100,20,12042,85,1476,7,320,305,5,461,70,60,260,54,88,2978,4337,39,121,104,1131,5210,114,172,70,0,50,150,633,11,73,9630,1020,107,561,0,3,0,3,14,0,6,0,6,3,6,0,0,3,9,36,0,0,0,42,6,26,3,6,6,24,0,46,87,21,0,12,26,18,175,81,72,181,183,873.0,81.0,25.0,56.0
64,2020-03-26,0,3,1030,71,182,104,17,18058,0,2172,12,446,1321,0,791,121,53,271,39,78,3951,6615,35,70,103,324,6203,80,235,110,1,78,170,549,12,52,8271,914,111,1196,0,6,0,18,10,0,0,0,6,0,63,0,9,0,30,17,3,0,3,62,9,30,3,0,3,50,0,52,59,0,3,15,18,68,161,72,84,215,141,972.0,92.0,25.0,57.0
65,2020-03-27,8,0,1179,96,196,91,15,17821,72,2933,10,333,748,3,640,115,91,354,41,83,3851,6933,39,160,153,342,5909,81,130,132,0,85,168,724,13,49,7933,1117,91,2069,3,3,6,6,16,0,0,0,3,0,0,0,0,0,0,9,0,0,0,69,9,28,48,9,3,54,3,94,79,33,6,12,34,18,153,58,43,187,152,967.0,100.0,26.0,25.0
66,2020-03-28,0,2,1172,272,228,146,16,19808,63,2567,11,497,614,0,894,102,71,352,40,126,4703,6824,43,100,109,584,5974,225,159,131,1,83,249,902,28,70,7516,1148,109,1704,3,0,3,0,26,0,17,0,6,0,63,3,6,0,0,53,0,0,3,30,21,42,6,12,3,76,6,18,89,9,3,9,0,60,152,78,91,214,189,557.0,75.0,26.0,54.0
67,2020-03-29,2,0,1111,343,270,105,15,19444,102,2468,14,344,517,4,704,123,56,186,33,73,2603,4400,65,37,130,628,5217,173,150,145,0,63,224,792,44,42,6875,753,143,1815,3,46,0,0,7,3,0,0,3,33,36,3,0,0,9,14,6,3,3,64,18,33,6,15,0,29,3,68,45,12,7,12,28,51,179,59,58,169,162,588.0,86.0,26.0,49.0
68,2020-03-30,4,0,887,128,302,78,8,20922,41,2673,15,377,830,4,1118,76,77,184,47,112,4462,4790,39,227,129,448,4050,0,156,101,0,75,193,446,59,35,7846,1093,136,1610,0,3,0,0,12,0,3,0,3,3,27,0,0,3,18,18,0,0,0,44,18,29,84,0,6,89,0,55,26,94,3,6,3,51,162,52,92,191,120,1052.0,94.0,28.0,64.0
